seed,round,method,correlation,rmse_c,mae_c,worst_client_rmse_c,p90_client_rmse_c,client_rmse_sd_c,effective_bits,energy_j,utility_target_js,temperature_coverage_js,participation_jain,max_relay_energy_j,min_residual_energy_j
61,4,random,0.0,1.7807297509944862,0.8298997208409874,8.70531173347768,2.2062828449833547,1.4391376177854056,330364.8906501983,0.9198392484954558,0.14696473417324618,0.00040842430658995774,0.5747126436781609,0.03432787480928725,8.548683351981746
61,5,random,0.0,1.7775359837573879,0.8036003455383443,8.725504235010195,2.25198293069077,1.4481198625093543,439534.5003051695,1.2109293507018897,0.13398523470349066,0.00016339670536618284,0.6200396825396826,0.05484904131668783,8.548683351981746
61,6,random,0.0,1.7820531606905126,0.8178947570217662,8.739027498942034,2.1422671765496197,1.4448996320949026,549423.893440555,1.5036749549132762,0.1457204076057567,0.0001560824150040667,0.6147540983606558,0.0686557496185745,8.53850507614663
61,7,random,0.0,1.7938171412961106,0.8442801212650396,8.742723394115355,2.0880397390190075,1.4410675470714815,632655.0110505737,1.7351065254163187,0.12613777746481472,0.0001213036381307362,0.6543803418803419,0.07678865784336297,8.52415175693383
61,8,random,0.0,1.8040539999822522,0.8717596446391352,8.7286674237564,2.0979129765970304,1.4365057699186647,695551.6107699609,1.9197687047709093,0.11751884771911827,0.00011158545020553505,0.6734006734006734,0.08009837455500358,8.52415175693383
61,9,random,0.0,1.8170708994305371,0.8953241315747771,8.731470283821741,2.147494761788014,1.4347489479523552,767086.9703852035,2.1243000318859666,0.11057325397205717,0.0002361913077871602,0.703125,0.08009837455500358,8.52415175693383
61,10,random,0.0,1.8185277918175367,0.8983412957674739,8.725351885560958,2.2193268993692867,1.4356007222330553,863450.6358498929,2.385936462454752,0.09955594879470381,0.00022422604067702957,0.7335680751173709,0.08259523209500347,8.52415175693383
61,11,random,0.0,1.812975076476117,0.8948026836255876,8.716888463324853,2.1748675054775672,1.433208815173226,928704.1624053855,2.576019573532385,0.0888745159308611,0.00011234881488959405,0.7592871485943775,0.09159706582384802,8.52415175693383
61,12,random,0.0,1.8031700592880178,0.8831888191406452,8.7064559203697,2.119607370097769,1.4318836957362167,987023.7250441111,2.750154567601454,0.08679061770801874,0.00021509709392459773,0.7772020725388601,0.09159706582384802,8.52415175693383
61,13,random,0.0,1.7966965079313757,0.8788841170447244,8.69210757747541,2.1130885984614958,1.430049377429061,1055272.893689332,2.9471276554854624,0.08768780269083963,0.000365023938324372,0.7824074074074074,0.09872827437003812,8.52415175693383
