dataset,baseline,metric,n,seed_role,mean_proposed,mean_baseline,mean_diff,percent_change_vs_baseline,bootstrap95_low,bootstrap95_high,signflip_p,cohen_d_paired,cliffs_delta_unpaired,holm_p
uci_har,resource,effective_bits,10,held-out evaluation,11253027.880925816,28784585.962949634,-17531558.08202382,-60.90606307344403,-18271037.292628057,-16817416.785841912,0.001953125,-14.068356095478025,-1.0,0.017578125
uci_har,resource,energy_j,10,held-out evaluation,19.199521551518746,44.73015915252952,-25.530637601010774,-57.07701042142839,-26.808948855327998,-24.3136184120657,0.001953125,-11.858519463360658,-1.0,0.017578125
uci_har,resource,max_relay_energy_j,10,held-out evaluation,1.2421220972369713,0.4591172330146306,0.7830048642223408,170.54573601627126,0.5057333300426989,1.0584600571469704,0.001953125,1.6517956251317738,0.96,0.017578125
uci_har,resource,utility_target_js,10,held-out evaluation,0.027457506262656844,0.17158181542661233,-0.1441243091639555,-83.99742642051672,-0.1642741867458808,-0.12626868888967338,0.001953125,-4.421702811354545,-1.0,0.017578125
uci_har,resource,class_coverage_js,10,held-out evaluation,6.41251747947287e-05,8.055999442529572e-05,-1.6434819630567016e-05,-20.4007209134147,-5.781658217368012e-05,1.6665877483932765e-05,0.552734375,-0.2536842255199861,-0.18,0.552734375
uci_har,resource_adaptive,accuracy,10,held-out evaluation,0.8867060561299853,0.8751354012801575,0.0115706548498277,1.3221559581411082,0.006400787789266393,0.016691285081240792,0.005859375,1.318160037168021,0.85,0.0234375
uci_har,resource_adaptive,macro_f1,10,held-out evaluation,0.8826666012507411,0.8698190045225227,0.012847596728218391,1.4770425411975143,0.007172888516356268,0.018603140337419298,0.00390625,1.3242514680889246,0.84,0.01953125
uci_har,resource_adaptive,worst_client_accuracy,10,held-out evaluation,0.5683333333333334,0.5566666666666666,0.011666666666666659,2.0958083832335315,-0.026666666666666682,0.05166666666666667,0.640625,0.17373774756261626,0.14,1.0
uci_har,resource_adaptive,p10_client_accuracy,10,held-out evaluation,0.7538068658416611,0.7306589530943464,0.023147912747314713,3.168087197081911,0.0047051798730849085,0.04268316390226503,0.044921875,0.7062280004055643,0.52,0.134765625
uci_har,resource_adaptive,effective_bits,10,held-out evaluation,11253027.880925816,8872414.869883165,2380613.0110426513,26.83162415143015,2066597.7756949011,2737720.0621011783,0.001953125,4.232522246494538,1.0,0.017578125
uci_har,resource_adaptive,energy_j,10,held-out evaluation,19.199521551518746,14.343827205359394,4.855694346159349,33.852153101405726,4.207161337509106,5.588644037027151,0.001953125,4.131034276284484,1.0,0.017578125
uci_har,resource_adaptive,max_relay_energy_j,10,held-out evaluation,1.2421220972369713,0.17040988148089656,1.0717122157560748,628.9026237461569,0.8237103753739625,1.3226886427152396,0.001953125,2.517098092577931,1.0,0.017578125
uci_har,resource_adaptive,utility_target_js,10,held-out evaluation,0.027457506262656844,0.15529113321513902,-0.12783362695248218,-82.31869025991494,-0.1478993199756316,-0.10958202211521036,0.001953125,-3.958390501175842,-1.0,0.017578125
uci_har,resource_adaptive,class_coverage_js,10,held-out evaluation,6.41251747947287e-05,7.545273175153314e-05,-1.1327556956804442e-05,-15.012785745261338,-6.018323534869969e-05,2.7693305095185756e-05,0.724609375,-0.1482485547913503,0.02,1.0
