seed,round,method,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,energy_j,utility_target_js,class_coverage_js,participation_jain,max_relay_energy_j
53,25,random,0.0,0.8148695224027572,0.8031931011094461,0.45714285714285713,0.6497619047619048,0.12852884806674378,39878650.02181285,66.93159477727521,0.06536734270636291,4.1234704265410006e-05,0.9170105456212746,3.8618866508241143
59,1,random,0.0,0.16789758739537175,0.04792017987633502,0.0,0.06606060606060606,0.08789327359346916,1741218.1359046553,2.947402137455067,-1.1102230246251568e-16,4.42196398428243e-06,0.26666666666666666,0.39374449379350596
59,2,random,0.0,0.4899064500246184,0.3548592999113411,0.0784313725490196,0.2642857142857143,0.19719536058763745,3235574.6550882002,5.354152943251592,0.5971864881136553,0.0029864016423452938,0.4740740740740741,0.4078047442880347
59,3,random,0.0,0.5288035450516987,0.472681282604627,0.09803921568627451,0.3818421052631579,0.14770226452151228,4518239.786754223,7.310150640750623,0.5055815065284404,0.0002937877622762575,0.5333333333333333,0.4078047442880347
59,4,random,0.0,0.6110290497291975,0.5901382605476517,0.058823529411764705,0.47035714285714286,0.14622000314168393,5943902.147873283,9.727843051454762,0.3528633686274305,0.0001708651447215675,0.6826666666666666,0.8187042721668369
59,5,random,0.0,0.7464303298867553,0.7257234314615125,0.5714285714285714,0.6649180327868852,0.08842897674428414,7476661.847041069,12.282423323122153,0.27900593417621194,0.00015651027945800242,0.6666666666666666,1.2296038000456393
59,6,random,0.0,0.7479074347612014,0.72471915271113,0.5166666666666667,0.6060674157303371,0.11771687830784337,8979012.641328631,14.775646961146375,0.21249254226169406,8.253626907152528e-05,0.7111111111111111,1.2296038000456393
59,7,random,0.0,0.7813884785819794,0.760436984799128,0.4,0.6282142857142857,0.11850578446457288,10772309.589883577,17.849496028994203,0.20110029749427502,8.121172808804567e-05,0.725925925925926,1.6405033279244416
59,8,random,0.0,0.7597242737567701,0.7228838035713329,0.36666666666666664,0.6128571428571429,0.13663846264399696,12300598.310874013,20.4753269517452,0.16371290100370933,4.0653347356942775e-05,0.7585185185185185,1.6405033279244416
59,9,random,0.0,0.7813884785819794,0.7459491759892781,0.43333333333333335,0.6056302521008403,0.13824668001937226,13985397.017371748,23.394406688804974,0.1492013485707733,6.994514612604233e-05,0.7513043478260869,1.6405033279244416
59,10,random,0.0,0.8040374199901527,0.7760617711153021,0.4666666666666667,0.6347512038523275,0.13863378401113358,15273285.122860057,25.44536875934119,0.14256135509997037,9.793470517811603e-05,0.8020050125313283,1.6405033279244416
59,11,random,0.0,0.8000984736582964,0.7815344853040229,0.4666666666666667,0.5285714285714286,0.14855463033161062,16791018.260157943,27.984760960788268,0.12150086565043586,7.2521534734479e-05,0.8016563146997929,1.6405033279244416
59,12,random,0.0,0.8055145248645987,0.7935256392876097,0.5,0.5820448179271709,0.13089790244426677,18249879.91569265,30.30186283226964,0.11039531979798942,8.119292934706361e-05,0.8,1.8019110293123577
59,13,random,0.0,0.7956671590349581,0.7799778347621985,0.44285714285714284,0.5933333333333334,0.13392532287506215,19633856.93725858,32.496958276922285,0.09671201564263185,6.035029965218526e-05,0.8231354642313546,2.1564855496494895
59,14,random,0.0,0.8424421467257509,0.8319202397839452,0.5,0.6248635634028893,0.12721332594053963,21160555.334882095,35.045066236520135,0.09227409730988162,5.6177915611148235e-05,0.8396251673360107,2.1564855496494895
59,15,random,0.0,0.8606597735105859,0.8537860826178202,0.55,0.6845585874799358,0.10588785590511483,22685194.3726047,37.63897715695027,0.09000398511313562,6.592839233169213e-05,0.8633093525179856,2.5207395458621877
59,16,random,0.0,0.8385032003938946,0.825106164401873,0.45,0.6985393258426966,0.11751151950481056,23772205.571993615,39.30149395603363,0.07789633324930083,7.546826381940727e-05,0.8724174653887113,2.5207395458621877
59,17,random,0.0,0.8138847858197932,0.7933724879717549,0.43333333333333335,0.6571428571428571,0.12282083576405413,25350414.309296846,41.93563850635659,0.07851007353313771,6.81902243460646e-05,0.8782526115859449,2.5207395458621877
59,18,random,0.0,0.8178237321516494,0.7995779772270609,0.45,0.6557142857142857,0.12612951833376368,26693551.52940063,44.16408303815848,0.07798078747784859,5.767397818369664e-05,0.8953367875647669,2.5207395458621877
59,19,random,0.0,0.8636139832594781,0.8560233417704741,0.5333333333333333,0.6935393258426966,0.10736033443732762,28176388.018765166,46.6511302677055,0.07474099379576646,5.038802864092335e-05,0.8996884735202493,2.5207395458621877
59,20,random,0.0,0.8660758247168883,0.8627070251264738,0.5833333333333334,0.7242536115569823,0.10065507827164122,29615382.713701252,49.10974745958139,0.07213630406454435,4.157684137683559e-05,0.903954802259887,2.5207395458621877
59,21,random,0.0,0.8601674052191038,0.858120855724173,0.6285714285714286,0.6709523809523809,0.10223608522265444,31468581.09595874,52.486783777369254,0.07077346045011554,5.001637656945612e-05,0.9133980582524271,2.5207395458621877
59,22,random,0.0,0.8394879369768586,0.8359269261575392,0.5857142857142857,0.6952996254681648,0.1043289746128594,32878551.534904994,54.7642318716988,0.0695364582651494,4.523497708785844e-05,0.9219047619047619,2.5207395458621877
59,23,random,0.0,0.8424421467257509,0.8367709470892967,0.5285714285714286,0.6809803921568628,0.11426346835315035,34075369.390655495,56.59145865532454,0.06772387473572643,4.080494083792349e-05,0.9250273224043716,2.5207395458621877
59,24,random,0.0,0.8655834564254062,0.858056914307923,0.5166666666666667,0.7157142857142857,0.12106781005692831,35511108.7340854,59.07486978575543,0.06454236176244367,4.0664933949483874e-05,0.9253012048192771,2.7172934968388716
59,25,random,0.0,0.8542589857213195,0.8426135769709119,0.48333333333333334,0.7142857142857143,0.12070765412398628,37208216.79958393,61.98722343037219,0.062058579258254594,4.447903831036328e-05,0.9195402298850575,2.7172934968388716
61,1,random,0.0,0.16789758739537175,0.04792017987633502,0.0,0.06606060606060606,0.08789327359346916,1370311.7983495214,2.3003162311380003,-1.1102230246251568e-16,4.42196398428243e-06,0.26666666666666666,0.35303832119310813
61,2,random,0.0,0.5391432791728212,0.470902274208899,0.0196078431372549,0.315,0.15918418570174311,2779278.439195073,4.649950113141331,0.4795064839404516,0.0007102449701782039,0.3878787878787879,0.35303832119310813
61,3,random,0.0,0.4687346134908912,0.397878928854523,0.0196078431372549,0.28547619047619044,0.1498796882885288,4386168.667259952,7.398335529907053,0.35725722921658076,0.00043436165215200023,0.43636363636363634,0.7060766423862163
61,4,random,0.0,0.7119645494830132,0.6486846825525235,0.19607843137254902,0.5190476190476191,0.16553320165597385,5831761.639680017,9.84633561172923,0.3012988533174714,0.00013406524496036845,0.5688888888888889,0.7296448965004719
61,5,random,0.0,0.8380108321024126,0.8191681620056187,0.6,0.6941091492776886,0.10736591670923736,7490141.53996129,12.736487498027655,0.2335295052585239,0.00012989762544443227,0.7017543859649122,1.0806721712218437
61,6,random,0.0,0.8227474150664698,0.8088488585481893,0.5666666666666667,0.6825682182985554,0.10636152795168154,9072817.830964938,15.414960458572118,0.1794742288884267,0.00011738685729350889,0.768,1.4592897930009436
61,7,random,0.0,0.7695716395864106,0.7279960891443816,0.43333333333333335,0.6380711610486891,0.11995413271123118,10701082.49223854,18.216665502658913,0.14610613513021237,0.00012393120142493606,0.7919191919191919,1.4592897930009436
61,8,random,0.0,0.7641555883801083,0.7150385406314435,0.43333333333333335,0.6749213483146068,0.12089920767502761,12429050.127446575,21.1644047860645,0.128281265503131,6.255200373120415e-05,0.8031372549019608,2.1880266256930634
61,9,random,0.0,0.7971442639094042,0.782543129537801,0.43333333333333335,0.6467977528089888,0.13013353159059785,14031819.082916243,23.883478596202643,0.11787489854030965,8.430030109838173e-05,0.8074766355140187,2.1880266256930634
61,10,random,0.0,0.7922205809945839,0.774747227763251,0.4666666666666667,0.6060674157303371,0.13333033977093736,15807654.52536395,27.120948290528105,0.10526265668722065,7.514497665141455e-05,0.8142493638676844,2.1880266256930634
61,11,random,0.0,0.8242245199409158,0.8094129964946517,0.48333333333333334,0.6378571428571428,0.128513812526527,17775927.386331208,30.635096355099233,0.09836656703913269,4.883802157232969e-05,0.8168776371308016,2.5666442474721634
61,12,random,0.0,0.7872968980797637,0.7668486962227848,0.4142857142857143,0.5626190476190476,0.1535252506862427,19463799.03334076,33.65634152021063,0.08895960638890821,5.250139813672643e-05,0.839344262295082,2.5666442474721634
61,13,random,0.0,0.7612013786312162,0.732680666122024,0.3137254901960784,0.5497619047619048,0.16270572054904234,20796974.80683942,35.77385354636446,0.08927966273309257,6.288914746395338e-05,0.8503144654088051,2.5666442474721634
61,14,random,0.0,0.7966518956179222,0.7775190539062905,0.43137254901960786,0.5626190476190476,0.14984678041237298,22327078.76789075,38.36211935565156,0.08618767856845139,6.413775164488753e-05,0.8533333333333334,2.917671522193535
61,15,random,0.0,0.8513047759724274,0.841907098377295,0.5142857142857142,0.7291705069124425,0.11272087633065415,23987785.918594517,41.11477681124179,0.08246915221556987,4.768860749673992e-05,0.851063829787234,3.268698796914907
61,16,random,0.0,0.8660758247168883,0.8589212281375533,0.6142857142857143,0.691336405529954,0.09532650134471958,25572104.39331176,43.76011388769389,0.07625164646850033,4.93999104297883e-05,0.8480331262939959,3.268698796914907
61,17,random,0.0,0.8493353028064993,0.8468089590468105,0.6571428571428571,0.7271260997067449,0.08939303208236943,27131782.584235232,46.399378969180056,0.0720871811131455,3.1697619169554405e-05,0.8539242843951985,3.268698796914907
61,18,random,0.0,0.7976366322008862,0.7855717417233726,0.6166666666666667,0.6492857142857144,0.10382430103914515,28737832.122443706,49.21545623561211,0.0779697585292998,2.487558795586189e-05,0.8533333333333334,3.268698796914907
61,19,random,0.0,0.7872968980797637,0.762297472638279,0.6166666666666667,0.6400408580183862,0.10881131945634734,30345068.309002105,52.0369001049207,0.0827575699312021,2.2009268529479603e-05,0.8500367917586461,3.619726071636279
61,20,random,0.0,0.8202855736090596,0.8050950009613312,0.6,0.7,0.1010848153937685,32107766.24886463,55.15216614506442,0.07981497776134236,2.0147448761110177e-05,0.8725289706884799,3.970753346357651
61,21,random,0.0,0.8655834564254062,0.8579081949997155,0.55,0.7310393258426967,0.10410881697576635,34091785.483371586,58.607654334023366,0.07693046313095656,1.598563011008644e-05,0.8662983425414365,4.321780621079023
61,22,random,0.0,0.8527818808468735,0.843418447222562,0.48333333333333334,0.6857142857142857,0.11562602547688272,35910516.604855314,61.82015298308046,0.07134118066412429,1.1426146544886396e-05,0.8735476593344613,4.321780621079023
61,23,random,0.0,0.8375184638109305,0.8231659221926172,0.48333333333333334,0.6705778491171749,0.1238496733528794,37556375.06248151,64.77248011725486,0.06673359203781565,9.946162809002651e-06,0.8721277691911385,4.321780621079023
61,24,random,0.0,0.8163466272772033,0.7992468267028207,0.48333333333333334,0.6364285714285713,0.13198161053859192,39229502.3665815,67.85644606393106,0.06680025866935307,1.101390678038606e-05,0.8727272727272727,4.321780621079023
61,25,random,0.0,0.8163466272772033,0.8016461894031511,0.48333333333333334,0.6097198879551822,0.1386224606870717,41084095.638198376,71.2456701651493,0.06837243855212141,1.6699232310313358e-05,0.8760402978537013,4.321780621079023
67,1,random,0.0,0.16789758739537175,0.04792017987633502,0.0,0.06606060606060606,0.08789327359346916,1180234.8715182818,1.8023523072774228,-1.1102230246251568e-16,4.42196398428243e-06,0.26666666666666666,0.0
67,2,random,0.0,0.5120630231413097,0.3916383787983375,0.09803921568627451,0.2804761904761905,0.19049326610764886,2644302.162046462,4.144754738827878,0.48084904117840405,0.0005444903172897897,0.35555555555555557,0.36598015034046194
67,3,random,0.0,0.5721319547021172,0.4299400563301645,0.11666666666666667,0.37047619047619057,0.2084654466540178,4114224.987323982,6.5023859255809775,0.38232000431612023,0.0006886805996299745,0.41739130434782606,0.36598015034046194
67,4,random,0.0,0.5952732644017725,0.4831878430637926,0.17647058823529413,0.3642857142857143,0.19198990313062378,5607651.266619635,8.981350029650507,0.3065459241106833,0.0003848926599203103,0.5171717171717172,0.6780921610165922
67,5,random,0.0,0.7439684884293452,0.7208939299408964,0.4,0.5550980392156863,0.1475675728669556,7406506.204748044,12.034901672789125,0.22979982964467277,8.398797243691216e-05,0.5797101449275363,1.0171382415248882
67,6,random,0.0,0.8306253077301822,0.8221319359351785,0.6428571428571429,0.6927328742297935,0.08273887112205658,8671019.085278131,14.11433946499175,0.20247460794752586,3.7444004643179696e-05,0.6193548387096774,1.0171382415248882
67,7,random,0.0,0.7351058591826687,0.664846352222746,0.5151515151515151,0.5966666666666667,0.10457646253380441,10049422.973536687,16.213945297379578,0.2036444938053837,8.367372553045032e-05,0.6877192982456141,1.0171382415248882
67,8,random,0.0,0.7351058591826687,0.6597698625178914,0.5166666666666667,0.5983333333333333,0.0984030048772915,11293465.20707692,18.198086383979177,0.1524021929449007,5.930524126010093e-05,0.7420289855072464,1.0171382415248882
67,9,random,0.0,0.7390448055145249,0.6576645173088383,0.45,0.6054545454545455,0.1032176867345582,12712624.672697274,20.593874027004723,0.12965147636468874,5.238586531748147e-05,0.7714285714285715,1.3561843220331844
67,10,random,0.0,0.7469226981782373,0.6897272495075922,0.4166666666666667,0.6385000000000001,0.12185216249168333,13894382.151651774,22.512811741194668,0.10508248119553787,5.3256117199248685e-05,0.7960199004975125,1.4639206013618478
67,11,random,0.0,0.828163466272772,0.8138449119805099,0.48333333333333334,0.6737921348314607,0.12216356936372952,15207149.531870512,24.66463128293028,0.1025007695225043,2.265739629205444e-05,0.8168776371308016,1.4639206013618478
67,12,random,0.0,0.7715411127523387,0.7469100534159469,0.38571428571428573,0.5733333333333334,0.14877181704505016,16738746.365794074,27.11477348265245,0.09517608026923248,1.932104037497928e-05,0.8302702702702702,1.6952304025414806
67,13,random,0.0,0.706548498276711,0.6527174303370649,0.37142857142857144,0.48016129032258065,0.15335407942270607,18396376.152826056,29.928263639677493,0.0845032062817361,2.227064334162104e-05,0.8423676012461059,2.034276483049777
67,14,random,0.0,0.6888232397833579,0.628583737019563,0.3333333333333333,0.4821505376344086,0.15970855593743277,19393729.901432578,31.456294262587285,0.0762932179923575,2.559452479052504e-05,0.8329349269588313,2.034276483049777
67,15,random,0.0,0.7612013786312162,0.7338164475935222,0.38571428571428573,0.5563978494623657,0.15623074254640398,20782658.95401871,33.68598933722467,0.07604741496460354,1.8815107548210397e-05,0.8450704225352113,2.034276483049777
67,16,random,0.0,0.8641063515509602,0.8573876852849508,0.5333333333333333,0.6825682182985554,0.1161246258748634,21984690.40505486,35.521036513778874,0.07784569768175513,1.3486570773440934e-05,0.8454076367389061,2.034276483049777
67,17,random,0.0,0.8517971442639094,0.8450434224626987,0.5833333333333334,0.7060714285714286,0.09596950045486138,23234145.04137082,37.515439259603795,0.07255214336652797,1.7191415239517093e-05,0.8562962962962963,2.034276483049777
67,18,random,0.0,0.7823732151649434,0.7448809190507494,0.5666666666666667,0.655064935064935,0.10380206383974647,24555148.296948913,39.86183998835712,0.06659990441940163,1.4539953651044246e-05,0.8470588235294118,2.034276483049777
67,19,random,0.0,0.7720334810438207,0.7149803508157864,0.5333333333333333,0.6241666666666666,0.10675497467921422,25855994.338982113,41.845109051406894,0.06932401573020042,1.391649852892484e-05,0.8481644640234949,2.034276483049777
67,20,random,0.0,0.8060068931560808,0.7750198238416749,0.4666666666666667,0.6671428571428571,0.1169940958566023,27480644.96028713,44.52305272355223,0.07618489066908807,1.3631190496457318e-05,0.8550434201736807,2.373322563558073
67,21,random,0.0,0.8581979320531757,0.8542103734518309,0.6292134831460674,0.725974025974026,0.09420524203490606,28950670.52491846,46.96261335760839,0.06989090330422808,3.7413871706897016e-05,0.8647058823529412,2.373322563558073
67,22,random,0.0,0.8478581979320532,0.8444317167588321,0.6,0.6942857142857143,0.10538394614417543,30031207.34782978,48.61541859197534,0.06806939055939093,4.0305492426753915e-05,0.8590127565169162,2.373322563558073
67,23,random,0.0,0.8138847858197932,0.8030686565248518,0.4857142857142857,0.645,0.12478123484734402,31516925.838884577,50.97448998983721,0.06982541486372529,5.409173557666342e-05,0.8761904761904762,2.373322563558073
67,24,random,0.0,0.811422944362383,0.7963040192402183,0.45714285714285713,0.6497619047619048,0.13149633159013652,33045150.582102325,53.61567633890615,0.06600224759321897,5.301144165694338e-05,0.8840287769784173,2.5618610523832333
67,25,random,0.0,0.8261939931068439,0.814083574155429,0.45714285714285713,0.6463305322128852,0.14068125101253798,34506057.92312703,55.92511508673243,0.06657766918064001,4.617111325214639e-05,0.8960573476702509,2.5618610523832333
71,1,random,0.0,0.16789758739537175,0.04792017987633502,0.0,0.06606060606060606,0.08789327359346916,1739726.0177970775,3.02357635235418,-1.1102230246251568e-16,4.42196398428243e-06,0.26666666666666666,0.725660756497308
