method,seed,correlation,accuracy,macro_f1,worst_client_accuracy,p10_client_accuracy,client_accuracy_sd,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,max_relay_energy_j,participation_jain,utility_target_js,class_coverage_js
utility,53,0.0,0.8316100443131462,0.8233804374481198,0.5666666666666667,0.6960227272727273,0.1077665137435026,42889031.17381974,16204800.0,32390400.0,1.335,2.6466868565992634,73.92281979983703,3.9821569774654835,4.083530112340031,0.6038647342995169,0.07303341309208944,0.0001272747428937679
utility,59,0.0,0.7311669128508124,0.6993511565375896,0.3870967741935484,0.48284313725490197,0.1580138925513621,41715352.25983489,16204800.0,32390400.0,1.29,2.574259001026541,71.14358221268667,4.188650491024621,4.0803538897506355,0.6686726847208292,0.048070468507943415,3.574460612476132e-05
utility,61,0.0,0.7257508616445101,0.6760915888020017,0.38571428571428573,0.48177419354838713,0.14746817110882315,47622182.907136805,16204800.0,32390400.0,1.495,2.938770173475563,85.81233469083573,3.3590814784785956,5.919022149368608,0.44150110375275936,0.11428939130060509,0.00011493646756812929
utility,67,0.0,0.7641555883801083,0.6935471248926167,0.5,0.6366666666666666,0.11608457507851891,34171614.55420749,16204800.0,32390400.0,1.11,2.108734112991672,54.84479884400348,4.7178835377895965,1.9559642658508958,0.5894488653109343,0.06533310291736208,6.689557060831687e-05
utility,71,0.0,0.8380108321024126,0.8206408475863162,0.5571428571428572,0.7175115207373273,0.11148530593991186,38382589.77741965,16204800.0,32390400.0,1.19,2.368593859684759,62.914396788347574,3.6783939101058123,3.3936041163920367,0.5486968449931413,0.09070813939900987,3.285029664671431e-05
utility,73,0.0,0.7533234859675036,0.7047297907779152,0.5833333333333334,0.5997222222222222,0.11264484482453585,38072736.569384746,16204800.0,32390400.0,1.195,2.3494727839519602,64.44104740131024,4.564500876185157,3.7799187827887923,0.6865774116031582,0.062157396983586785,9.144201695184635e-06
utility,79,0.0,0.7459379615952733,0.6727675354935124,0.5333333333333333,0.5807142857142857,0.1033042576368766,39081391.910391286,16204800.0,32390400.0,1.27,2.4117170165871364,65.99362337120304,4.768645582920014,3.786201869833645,0.4772130756382725,0.09990344802022809,0.00019234221232905806
utility,83,0.0,0.7562776957163959,0.6823452798738593,0.5833333333333334,0.632449494949495,0.10067364450507352,44317896.61338359,16204800.0,32390400.0,1.37,2.7348623008851423,77.62831159270053,2.057631763380543,4.278138812694036,0.648508430609598,0.059131429157376146,3.652323373670957e-05
utility,89,0.0,0.8419497784342689,0.8290637392704255,0.6285714285714286,0.7075,0.09319934304767619,39911142.37638551,16204800.0,32390400.0,1.26,2.4629210096012004,67.50110009801404,2.8804106758006216,4.531351577451882,0.5175983436853002,0.09968935346812875,3.198464577977751e-05
utility,97,0.0,0.7321516494337764,0.667053142994327,0.37142857142857144,0.5384803921568627,0.14541498530393926,45012193.97571526,16204800.0,32390400.0,1.315,2.77770746789318,76.58891241307502,1.6343864406592128,5.289251346466541,0.5175983436853002,0.07715313151265947,6.669052137420618e-05
random_adaptive,53,0.0,0.880354505169867,0.875544056395895,0.55,0.7219101123595506,0.10630140199316578,12506814.962095767,5329968.0,32390400.0,1.255,2.443827253184698,21.26082074277616,7.237254643035056,1.8391293798071031,0.9170105456212746,0.05842307311016279,4.554682628340277e-05
random_adaptive,59,0.0,0.8788774002954209,0.8722344855734074,0.48333333333333334,0.7310714285714286,0.11984658765209956,12023042.567811882,5556576.0,32390400.0,1.21,2.2852123654647314,20.33175072168746,7.192120243478691,1.1941840259818757,0.9195402298850575,0.04682728023903236,1.717927851067081e-05
random_adaptive,61,0.0,0.879862136878385,0.8754293588934742,0.55,0.7253772070626003,0.10856437341885528,12530019.558273738,5111472.0,32390400.0,1.35,2.508505684130366,22.262196087529116,7.312133376153444,1.7553142045643972,0.8760402978537013,0.04558759456272882,9.980916970519626e-06
random_adaptive,67,0.0,0.8857705563761694,0.8803278622071731,0.5,0.7464285714285714,0.11246739506110098,10811175.99174672,5240976.0,32390400.0,1.145,2.126705494477707,17.976854142549936,7.664163215229365,0.8162815587593101,0.8960573476702509,0.05051488923710966,2.117637277539695e-05
random_adaptive,71,0.0,0.8847858197932054,0.8816590432621405,0.5833333333333334,0.7567094703049759,0.09912502304091687,13286124.718242103,5208576.0,32390400.0,1.33,2.6324033816632952,23.185026410894345,7.967733640468229,1.5471258478268548,0.9456264775413712,0.02271405351539868,4.7044047557768805e-05
random_adaptive,73,0.0,0.8724766125061546,0.8679736393243748,0.5833333333333334,0.7528571428571429,0.09441824770766134,10886450.435080782,5354256.0,32390400.0,1.17,2.120901719236638,18.697699195418878,7.496219466195072,1.0617043768632926,0.8691873098652759,0.05554461642804535,6.604277791618979e-06
random_adaptive,79,0.0,0.8877400295420975,0.8836307076543771,0.55,0.7582865168539326,0.10357398002870497,12469973.938552124,5281440.0,32390400.0,1.25,2.451984684203318,21.361594010461033,7.757779208865786,1.3260921003505517,0.9057971014492754,0.038553874610404486,2.0631374650157482e-05
random_adaptive,83,0.0,0.879369768586903,0.8749362001162623,0.5333333333333333,0.6835205992509363,0.11262683080283047,13363600.824976508,5386608.0,32390400.0,1.355,2.6193903243533483,23.558812550462385,6.051971946042479,2.639225110710007,0.8888888888888888,0.0670956068561045,1.2639044011780127e-05
random_adaptive,89,0.0,0.8670605612998523,0.8638211164191033,0.6333333333333333,0.7271428571428571,0.09254921736538732,12897612.67353138,5580816.0,32390400.0,1.29,2.456908295442969,22.24134233436693,6.678805517944589,1.841362106463711,0.8726003490401396,0.07623508960786957,7.445858042014143e-06
random_adaptive,97,0.0,0.8852781880846874,0.8807226605214695,0.55,0.7464285714285714,0.10844491660126632,13322314.606349349,5718432.0,32390400.0,1.27,2.486140440204012,22.622611157283984,7.394565864519719,1.3978385475869601,0.8748906386701663,0.05750993273194463,8.768169959582196e-06
resource_adaptive,53,0.0,0.8774002954209749,0.8718396945085223,0.5333333333333333,0.7446629213483146,0.10644386610010025,8970397.829261381,4876800.0,32390400.0,1.04,1.83940244202374,14.518737992689033,7.88878460892583,0.24089501690325593,0.6548788474132285,0.15640498502169686,7.148825944598355e-05
resource_adaptive,59,0.0,0.8788774002954209,0.8738122919971163,0.55,0.6924157303370786,0.11366298393951842,8551841.73647727,4957728.0,32390400.0,1.02,1.7314905105275107,13.756300895148186,7.990157565392202,0.1227279680677261,0.7222824124232575,0.1444817117958755,6.727728617879065e-05
resource_adaptive,61,0.0,0.880354505169867,0.8755264145519334,0.5166666666666667,0.7332865168539326,0.10873452225330782,8297949.737182367,4933440.0,32390400.0,1.03,1.6864573267196379,13.462999876055159,7.999267015311956,0.10624612983773635,0.6259780907668232,0.20141870098543108,5.34292000749486e-05
resource_adaptive,67,0.0,0.8847858197932054,0.8806682664770485,0.5333333333333333,0.7251587301587301,0.11141242507322575,8333094.638067628,4901088.0,32390400.0,1.025,1.7024190680947688,13.468177410519914,8.034345072851066,0.12590298633754554,0.6958942240779401,0.131364147271689,4.198049525314546e-05
resource_adaptive,71,0.0,0.8877400295420975,0.8854759339908883,0.6166666666666667,0.7682027649769585,0.09599707119051765,9526260.835905286,5062944.0,32390400.0,1.04,1.904321966323461,15.396570609538083,8.160044093422982,0.22086359780679984,0.6184291898577613,0.15873141980511546,5.7442410436540274e-05
resource_adaptive,73,0.0,0.8749384539635647,0.8690685338688647,0.5333333333333333,0.7128571428571429,0.10829875101655759,8255144.92960803,5038656.0,32390400.0,1.02,1.657059119012685,13.358359408267134,8.108569680456602,0.10909020757791094,0.7301935012778387,0.12819712542763914,2.0664799430846056e-05
resource_adaptive,79,0.0,0.8833087149187593,0.8790561204547739,0.5833333333333334,0.7371107544141252,0.10459861862143394,8748899.821885977,4901088.0,32390400.0,1.035,1.7874653556443696,14.179543651429977,8.033578473989229,0.17936346288756477,0.7317965605561654,0.12075796094371712,0.00013343336212382406
