round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
100,100,0,1.2854079999999992,103.34819199999988,100,100,0,0,0,0,10000,10000,10000,0,0,0,1.0,149718.41984424862,0.520632558532457,31369,23,44.750500471753625
101,100,0,1.403775999999999,104.75196799999988,100,100,0,0,0,0,10100,10100,10100,0,0,0,1.0,149794.76089652098,0.5225252828150698,31763,23,44.67485639213189
102,100,0,1.3793919999999997,106.13135999999987,100,100,0,0,0,0,10200,10200,10200,0,0,0,1.0,149897.86242256782,0.5239409889604708,32146,23,44.60486940926312
103,100,0,1.2712319999999995,107.40259199999987,100,100,0,0,0,0,10300,10300,10300,0,0,0,1.0,149980.96135333512,0.5249809089644566,32509,23,44.53965104884368
104,100,0,1.2140479999999996,108.61663999999988,100,100,0,0,0,0,10400,10400,10400,0,0,0,1.0,150058.48091047577,0.5256835782005232,32857,23,44.47732694092292
105,100,0,1.5949439999999984,110.21158399999987,100,100,0,0,0,0,10500,10500,10500,0,0,0,1.0,150122.73120037926,0.5283243573566554,33285,23,44.395361710911125
106,100,0,1.0354559999999993,111.24703999999987,100,100,0,0,0,0,10600,10600,10600,0,0,0,1.0,150128.43487790794,0.5282976048268831,33595,24,44.34134259249082
107,100,0,0.8543039999999996,112.10134399999987,100,100,0,0,0,0,10700,10700,10700,0,0,0,1.0,150111.0994708504,0.5273821321630219,33866,24,44.2966062207926
108,100,0,0.9914879999999997,113.09283199999987,100,100,0,0,0,0,10800,10800,10800,0,0,0,1.0,150088.94639759324,0.5271499652889375,34169,24,44.247772729672526
109,100,0,1.0492799999999993,114.14211199999987,100,100,0,0,0,0,10900,10900,10900,0,0,0,1.0,150091.2126104695,0.5272343490063698,34482,24,44.1960419621699
110,100,0,1.0699519999999993,115.21206399999987,100,100,0,0,0,0,11000,11000,11000,0,0,0,1.0,150082.68578540543,0.5273796799189782,34800,24,44.141277420484165
111,100,0,1.1337599999999994,116.34582399999987,100,100,0,0,0,0,11100,11100,11100,0,0,0,1.0,150075.62282596427,0.5277758956795887,35131,24,44.08334003937988
112,100,0,1.0861759999999991,117.43199999999986,100,100,0,0,0,0,11200,11200,11200,0,0,0,1.0,150042.03283602442,0.5281321590208069,35454,24,44.02796853456121
113,100,0,0.9978879999999999,118.42988799999986,100,100,0,0,0,0,11300,11300,11300,0,0,0,1.0,150063.06516138915,0.5281067228371499,35755,24,43.97790585337577
114,100,0,1.0276159999999994,119.45750399999986,100,100,0,0,0,0,11400,11400,11400,0,0,0,1.0,150070.237529825,0.5281582549997498,36065,25,43.92800408652785
115,100,0,1.0052479999999997,120.46275199999985,100,100,0,0,0,0,11500,11500,11500,0,0,0,1.0,150076.26589835854,0.5280833452152461,36365,25,43.87802173650743
116,100,0,1.1870079999999998,121.64975999999986,100,100,0,0,0,0,11600,11600,11600,0,0,0,1.0,150095.947579346,0.5286591587018885,36706,25,43.82014093338715
117,100,0,1.2335039999999988,122.88326399999985,100,100,0,0,0,0,11700,11700,11700,0,0,0,1.0,150096.59899658934,0.5295494998245496,37063,25,43.757748795225325
118,100,0,1.0059519999999995,123.88921599999985,100,100,0,0,0,0,11800,11800,11800,0,0,0,1.0,150082.79655268803,0.5293911721164667,37370,26,43.70608060682813
119,100,0,1.1221439999999996,125.01135999999985,100,100,0,0,0,0,11900,11900,11900,0,0,0,1.0,150072.8893758137,0.5297068035276896,37704,27,43.65003581850472
120,100,0,1.0373119999999991,126.04867199999985,100,100,0,0,0,0,12000,12000,12000,0,0,0,1.0,150047.56257963608,0.5296499184133426,38015,27,43.59700070054629
121,100,0,1.6232639999999985,127.67193599999985,100,100,0,0,0,0,12100,12100,12100,0,0,0,1.0,150038.17283698136,0.5322025844560654,38450,27,43.50864659249717
122,100,0,1.3187839999999997,128.99071999999984,100,100,0,0,0,0,12200,12200,12200,0,0,0,1.0,149988.09216663046,0.5333239530248342,38824,28,43.43944870003272
123,100,0,1.3881599999999996,130.37887999999984,100,100,0,0,0,0,12300,12300,12300,0,0,0,1.0,149954.16435545406,0.5348146677928425,39207,29,43.36451720225051
124,100,0,1.293631999999999,131.67251199999984,100,100,0,0,0,0,12400,12400,12400,0,0,0,1.0,149889.2039061275,0.5358092742719193,39571,29,43.29444645187276
125,100,0,1.4043839999999987,133.07689599999983,100,100,0,0,0,0,12500,12500,12500,0,0,0,1.0,149853.69060606902,0.5373118095894864,39957,29,43.220092431797866
126,100,0,1.3011839999999995,134.37807999999984,100,100,0,0,0,0,12600,12600,12600,0,0,0,1.0,149801.51524712978,0.5382012608658046,40326,29,43.15019086070346
127,100,0,1.3851519999999988,135.76323199999985,100,100,0,0,0,0,12700,12700,12700,0,0,0,1.0,149797.14095197752,0.539604490857212,40711,29,43.07744705424575
128,100,0,1.3951359999999988,137.15836799999985,100,100,0,0,0,0,12800,12800,12800,0,0,0,1.0,149742.46412730735,0.5409167203782178,41099,30,43.00271998113879
129,100,0,1.3101439999999995,138.46851199999986,100,100,0,0,0,0,12900,12900,12900,0,0,0,1.0,149704.21578589667,0.5419150908377074,41467,30,42.93311556985573
130,100,0,1.4970879999999984,139.96559999999985,100,100,0,0,0,0,13000,13000,13000,0,0,0,1.0,149660.430848723,0.5436435639141983,41877,30,42.84744948345463
131,100,0,1.066431999999999,141.03203199999984,100,100,0,0,0,0,13100,13100,13100,0,0,0,1.0,149643.84828547336,0.5436511015199117,42196,30,42.794486533232636
132,100,0,0.9504319999999999,141.98246399999985,100,100,0,0,0,0,13200,13200,13200,0,0,0,1.0,149602.02409221482,0.5430953758268099,42487,31,42.74675316000205
133,100,0,1.0618879999999993,143.04435199999986,100,100,0,0,0,0,13300,13300,13300,0,0,0,1.0,149601.32085466766,0.5431630854072544,42807,31,42.692727709519865
134,100,0,0.9575039999999991,144.00185599999986,100,100,0,0,0,0,13400,13400,13400,0,0,0,1.0,149597.96073739507,0.5429077879780702,43097,31,42.643145285563065
135,100,0,1.0098239999999996,145.01167999999987,100,100,0,0,0,0,13500,13500,13500,0,0,0,1.0,149624.85780455766,0.5425838057711493,43401,31,42.5947715509021
136,100,0,1.2049919999999994,146.21667199999987,100,100,0,0,0,0,13600,13600,13600,0,0,0,1.0,149636.78013407404,0.5428848091866544,43747,31,42.53441874625409
137,100,0,1.0715839999999994,147.28825599999988,100,100,0,0,0,0,13700,13700,13700,0,0,0,1.0,149688.18695225788,0.5429451065652741,44063,31,42.48366919039019
138,100,0,1.0346239999999998,148.32287999999988,100,100,0,0,0,0,13800,13800,13800,0,0,0,1.0,149721.95793393452,0.5426513961555612,44371,31,42.43471068998171
139,100,0,1.19328,149.51615999999987,100,100,0,0,0,0,13900,13900,13900,0,0,0,1.0,149741.24536103668,0.542937897989055,44715,31,42.37341899556092
140,100,0,1.0672320000000002,150.58339199999986,100,100,0,0,0,0,14000,14000,14000,0,0,0,1.0,149768.76068776575,0.5429731800708106,45033,31,42.32107466932751
141,100,0,1.2442879999999994,151.82767999999987,100,100,0,0,0,0,14100,14100,14100,0,0,0,1.0,149813.15659963991,0.5436550470888714,45392,32,42.255648573947255
142,100,0,1.415839999999999,153.24351999999988,100,100,0,0,0,0,14200,14200,14200,0,0,0,1.0,149870.74167964832,0.544894113729616,45790,32,42.1804116287193
143,100,0,1.1425279999999995,154.38604799999987,100,100,0,0,0,0,14300,14300,14300,0,0,0,1.0,149929.66203785472,0.5449808935627827,46124,32,42.12248628777897
144,100,0,1.0953600000000001,155.48140799999987,100,100,0,0,0,0,14400,14400,14400,0,0,0,1.0,149966.02037460337,0.545079890339079,46446,32,42.06657944374503
