seed,correlation,round,method,accuracy,macro_f1,effective_bits,compressed_bits,raw_selected_bits,mean_selected_hops,mean_selected_etx,energy_j,min_residual_energy_j,mean_residual_energy_j,participation_jain,utility_target_js,class_coverage_js,relay_queue_max,relay_energy_max_j,selected,accepted_updates
89,0.0,28,random,0.955,0.9551930856312449,1358111.3746534705,524160.0,1024128.0,1.3452380952380953,2.591024447980524,4.9952638136903715,8.202566892224509,9.576801792435745,0.865979381443299,0.040069336613963266,0.0007914610583105225,0.27953322489232635,0.3875332248923264,6,6
89,0.0,29,random,0.955,0.9552534673495506,1406024.2386916734,542880.0,1060704.0,1.3448275862068966,2.5899356003014926,5.172529062985872,8.1877682123652,9.569415740381766,0.8593324250681199,0.04181129648135748,0.0007926546566932083,0.2903319047516364,0.40233190475163644,6,6
89,0.0,30,random,0.955,0.95531317131147,1444206.954832484,561600.0,1097280.0,1.3388888888888888,2.571593580542174,5.330665163035816,8.17296953250589,9.562826736213019,0.8598726114649682,0.042732973004980905,0.0007328018603132833,0.30113058461094644,0.4171305846109465,6,6
89,0.0,31,random,0.954,0.9542758705583569,1504203.8404670984,580320.0,1133856.0,1.3494623655913978,2.5920248147006815,5.535000071139053,8.144297644426429,9.554312781708717,0.8429824561403508,0.04601702581232756,0.0007361893227391063,0.32580247269040924,0.4458024726904093,6,6
89,0.0,32,random,0.955,0.955204749890699,1549101.117411535,599040.0,1170432.0,1.3489583333333333,2.5859727520892366,5.706816468154747,8.130424436206276,9.547153765166398,0.8402625820568927,0.04931373917294678,0.000917532589158555,0.33567568091056194,0.459675680910562,6,6
89,0.0,33,random,0.956,0.956254942846153,1585654.3931999395,617760.0,1207008.0,1.3383838383838385,2.56678061577302,5.8576463818373545,8.130424436206276,9.54086918542962,0.8525574112734864,0.046900933124391295,0.0007810115366695283,0.33167568091056193,0.459675680910562,6,6
89,0.0,34,random,0.958,0.9582627938457986,1623418.6155089769,636480.0,1243584.0,1.3284313725490196,2.5506199967147096,6.010292715300911,8.104487782185695,9.534508921535307,0.8635458167330677,0.04561413198906783,0.0007352311641535664,0.32767568091056193,0.459675680910562,6,6
89,0.0,35,random,0.957,0.9572635745230598,1664456.2013278697,655200.0,1280160.0,1.319047619047619,2.540378817655482,6.1678490940292505,8.078551128165113,9.527944072421626,0.8716793168880456,0.045680389630165276,0.0008086954208837015,0.3236756809105619,0.459675680910562,6,6
89,0.0,36,random,0.958,0.9582444329885673,1711656.271948288,673920.0,1316736.0,1.3194444444444444,2.5398508308824344,6.345670092275953,8.078551128165113,9.520534864161347,0.8844404003639672,0.043285766304398426,0.00048694685649909694,0.3196756809105619,0.459675680910562,6,6
89,0.0,37,random,0.96,0.9602742665319097,1760837.6591058506,692640.0,1353312.0,1.3198198198198199,2.542211912545988,6.5248381262504935,8.063752448305804,9.513069529412407,0.8820876288659794,0.04397862156685649,0.000502430028350155,0.33047436076987197,0.47447436076987204,6,6
89,0.0,38,random,0.957,0.9573452125917521,1812833.3025984857,711360.0,1389888.0,1.3201754385964912,2.5484048900676006,6.708207791100642,8.063752448305804,9.505429126710318,0.8928276999175597,0.04107915128432803,0.0005285064387382191,0.32647436076987196,0.47447436076987204,6,6
