round,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
208,92,8,27.753162692469402,20621,20613,8,0.9996120459725523,0.01700034456355594,396403.8461538461
209,92,8,27.665437513106276,20713,20705,8,0.9996137691304977,0.017000344512493076,396267.9425837321
210,92,8,27.577712333743147,20805,20797,8,0.9996154770487864,0.01700034446188199,396133.3333333333
211,91,9,27.49123177800667,20897,20888,9,0.9995693161697852,0.017000344405382128,395981.04265402845
212,90,10,27.405929168161006,20988,20978,10,0.9995235372593864,0.017000344343106197,395811.320754717
213,90,10,27.322938268010823,21078,21068,10,0.9995255716861182,0.017000344281362333,395643.1924882629
214,90,10,27.239947367860637,21168,21158,10,0.9995275888133031,0.01700034422014375,395476.6355140187
215,90,10,27.15695646771045,21258,21248,10,0.9995295888606642,0.017000344159443775,395311.62790697673
216,90,10,27.07396556756027,21348,21338,10,0.9995315720442196,0.017000344099255844,395148.14814814815
217,90,10,26.990974667410082,21438,21428,10,0.9995335385763597,0.0170003440395735,394986.1751152074
218,90,10,26.9079837672599,21528,21518,10,0.9995354886659235,0.017000343980390412,394825.68807339447
219,90,10,26.824992867109714,21618,21608,10,0.9995374225182718,0.017000343921700328,394666.6666666667
220,90,10,26.742001966959535,21708,21698,10,0.9995393403353602,0.017000343863497122,394509.0909090909
221,90,10,26.65901106680935,21798,21788,10,0.9995412423158088,0.017000343805774757,394352.9411764706
222,90,10,26.57602016665917,21888,21878,10,0.9995431286549707,0.0170003437485273,394198.1981981982
223,90,10,26.493029266508984,21978,21968,10,0.9995449995449995,0.017000343691748913,394044.8430493274
224,87,13,26.411386676082547,22068,22055,13,0.999410911727388,0.017000343618410577,393839.28571428574
225,87,13,26.335098223743632,22155,22142,13,0.9994132250056421,0.017000343545648562,393635.55555555556
226,87,13,26.258809771404717,22242,22229,13,0.9994155201870335,0.017000343473456102,393433.62831858406
227,86,14,26.184510099696258,22329,22315,14,0.999373012674101,0.017000343396266722,393215.859030837
228,86,14,26.1104330516773,22415,22401,14,0.9993754182467098,0.01700034331967002,393000.0
229,86,14,26.036356003658337,22501,22487,14,0.9993778054308697,0.017000343243659198,392786.02620087337
230,86,14,25.96227895563938,22587,22573,14,0.9993801744366229,0.017000343168227555,392573.9130434783
231,86,14,25.888201907620424,22673,22659,14,0.9993825254708243,0.017000343093368498,392363.63636363635
232,86,14,25.81412485960146,22759,22745,14,0.9993848587372028,0.017000343019075534,392155.1724137931
233,86,14,25.740047811582507,22845,22831,14,0.9993871744364193,0.017000342945342264,391948.49785407726
234,85,15,25.66660301674527,22931,22916,15,0.9993458636779905,0.01700034286691021,391726.49572649575
235,85,15,25.594665422799736,23016,23001,15,0.9993482794577685,0.01700034278905784,391506.3829787234
236,85,15,25.522727828854205,23101,23086,15,0.9993506774598502,0.01700034271177876,391288.13559322036
237,85,15,25.450790234908673,23186,23171,15,0.999353057879755,0.017000342635066657,391071.7299578059
238,85,15,25.378852640963142,23271,23256,15,0.9993554209101456,0.017000342558915315,390857.14285714284
239,85,15,25.306915047017608,23356,23341,15,0.9993577667408803,0.01700034248331861,390644.35146443517
240,85,15,25.234977453072073,23441,23426,15,0.9993600955590631,0.0170003424082705,390433.3333333333
241,84,16,25.163499757957098,23526,23510,16,0.9993199013857009,0.017000342328784276,390207.46887966804
242,84,16,25.09363876110215,23610,23594,16,0.9993223210504024,0.017000342249864034,389983.47107438016
243,84,16,25.023777764247196,23694,23678,16,0.9993247235587068,0.017000342171503743,389761.316872428
244,84,16,24.953916767392244,23778,23762,16,0.9993271090924384,0.017000342093697468,389540.98360655736
245,84,16,24.884055770537294,23862,23846,16,0.9993294778308608,0.01700034201643936,389322.44897959183
246,84,16,24.814194773682345,23946,23930,16,0.9993318299507225,0.017000341939723634,389105.69105691055
247,84,16,24.744333776827396,24030,24014,16,0.9993341656263005,0.017000341863544606,388890.68825910933
248,84,16,24.674472779972444,24114,24098,16,0.9993364850294435,0.017000341787896667,388677.4193548387
249,83,17,24.605250223731733,24198,24181,17,0.9992974626002149,0.017000341708075354,388449.7991967871
250,83,17,24.537399823023833,24281,24264,17,0.9992998640912648,0.017000341628800132,388224.0
251,83,17,24.469549422315925,24364,24347,17,0.9993022492201609,0.017000341550065416,388000.0
252,82,18,24.40205885348589,24447,24429,18,0.9992637133390601,0.0170003414672694,387761.90476190473
253,82,18,24.33619400766639,24529,24511,18,0.9992661747319499,0.017000341385027363,387525.69169960474
254,81,19,24.27083127390972,24611,24592,19,0.9992279874852709,0.017000341298800143,387275.5905511811
255,81,19,24.206936908846366,24692,24673,19,0.9992305200064798,0.017000341213139085,387027.45098039217
256,81,19,24.14304254378302,24773,24754,19,0.9992330359665765,0.017000341128038624,386781.25
257,81,19,24.079148178719677,24854,24835,19,0.9992355355274805,0.01700034104349328,386536.96498054476
258,81,19,24.015253813656326,24935,24916,19,0.9992380188490074,0.017000340959497633,386294.57364341087
259,80,20,23.952825693077926,25016,24996,20,0.9992005116725295,0.017000340871657336,386038.61003861006
260,80,20,23.890867491120694,25096,25076,20,0.9992030602486452,0.01700034078437751,385784.6153846154
261,80,20,23.82890928916347,25176,25156,20,0.9992055926278995,0.01700034069765281,385532.56704980845
262,80,20,23.766951087206238,25256,25236,20,0.9992081089642065,0.01700034061147796,385282.4427480916
263,80,20,23.70499288524902,25336,25316,20,0.9992106094095359,0.017000340525847743,385034.2205323194
264,80,20,23.64303468329179,25416,25396,20,0.999213094113944,0.017000340440757017,384787.8787878788
265,80,20,23.581076481334552,25496,25476,20,0.999215563225604,0.017000340356200693,384543.3962264151
266,80,20,23.51911827937733,25576,25556,20,0.9992180168908351,0.01700034027217376,384300.75187969924
