round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,generated_total,delivered_total,channel_drops_total,energy_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
88,100,0,2.1132799999999956,187.6348799999998,100,88,12,0,8800,7790,1010,0,0.8852272727272728,166067.20456239284,1.0738692053682175,46170,5732,37.04953806798696
89,100,0,2.0645119999999957,189.69939199999982,100,88,12,0,8900,7878,1022,0,0.8851685393258427,166115.45070212998,1.0736683202702477,46678,5785,36.90862496381683
90,100,0,2.1173439999999957,191.81673599999982,100,89,11,0,9000,7967,1033,0,0.8852222222222222,166137.74514440715,1.0737667670188498,47199,5848,36.762681708872826
91,100,0,2.1417279999999956,193.95846399999982,100,88,12,0,9100,8055,1045,0,0.8851648351648351,166118.04061306667,1.074042143030387,47726,5919,36.61628583893805
92,100,0,2.1661119999999956,196.12457599999982,100,89,11,0,9200,8144,1056,0,0.8852173913043478,166098.51077511077,1.074491661571599,48259,5988,36.464435723444566
93,100,0,2.1417279999999956,198.26630399999982,100,89,11,0,9300,8233,1067,0,0.8852688172043011,166099.83308106672,1.0748539625389881,48786,6052,36.31787701241097
94,100,0,2.121407999999996,200.38771199999982,100,88,12,0,9400,8321,1079,0,0.8852127659574468,166098.0090435886,1.0750372425012626,49308,6116,36.17201795818643
95,100,0,2.0726399999999954,202.46035199999983,100,88,12,0,9500,8409,1091,0,0.8851578947368421,166136.23194728038,1.0750977966611488,49818,6170,36.03132941573111
96,100,0,2.105151999999996,204.56550399999983,100,89,11,0,9600,8498,1102,0,0.8852083333333334,166166.82351292242,1.075234899726262,50336,6232,35.88646980774356
97,100,0,2.036063999999996,206.60156799999982,100,86,14,0,9700,8584,1116,0,0.8849484536082475,166194.28561161758,1.07520349841562,50837,6285,35.7482954771279
98,100,0,2.1742399999999957,208.7758079999998,100,90,10,0,9800,8674,1126,0,0.8851020408163265,166187.83724213886,1.0759339557916363,51372,6357,35.59774128159338
99,100,0,2.1417279999999956,210.9175359999998,100,89,11,0,9900,8763,1137,0,0.8851515151515151,166188.17318252774,1.0765147682723286,51899,6424,35.451441887419136
100,100,0,2.1579839999999955,213.0755199999998,100,88,12,0,10000,8851,1149,0,0.8851,166157.050795887,1.0772550680868294,52430,6493,35.301671201489256
101,100,0,2.0685759999999958,215.14409599999982,100,89,11,0,10100,8940,1160,0,0.8851485148514852,166214.18233108302,1.077354370177483,52939,6546,35.16208039661234
102,100,0,2.1335999999999955,217.27769599999982,100,87,13,0,10200,9027,1173,0,0.885,166183.64730818957,1.0778846990435365,53464,6615,35.01433071747594
103,100,0,2.1173439999999957,219.39503999999982,100,89,11,0,10300,9116,1184,0,0.8850485436893204,166202.4811499842,1.078310293989874,53985,6680,34.8670214498032
104,100,0,2.1010879999999954,221.49612799999983,100,88,12,0,10400,9204,1196,0,0.885,166215.0951911901,1.0786862370019417,54502,6741,34.72223594297015
105,100,0,2.145791999999995,223.64191999999983,100,88,12,0,10500,9292,1208,0,0.8849523809523809,166194.24479990167,1.079459622333195,55030,6813,34.57420671400407
106,99,1,2.1242629318532367,225.76618293185305,100,89,10,1,10600,9381,1218,1,0.885,166207.3544970485,1.080101234041405,55552,6871,34.42734293338501
107,99,1,2.084831999999995,227.85101493185306,99,87,12,0,10699,9468,1230,1,0.8849425179923357,166213.87449745162,1.080491481349993,56065,6930,34.28647823239129
108,99,1,2.1214079999999953,229.97242293185306,99,89,10,0,10798,9557,1240,1,0.8850713095017596,166228.62651374497,1.0808234089232092,56587,6994,34.14535866722934
109,99,1,2.1214079999999953,232.09383093185306,99,89,10,0,10897,9646,1250,1,0.8851977608516105,166243.108854233,1.0811302521962707,57109,7057,34.00163802697707
