round,round_airtime_s,elapsed_channel_time_s,alive_nodes,dead_nodes,residual_energy_j,generated_packets,delivered_packets,energy_drops,pdr,avg_delay_s,throughput_bps
42,1.6,67.20000000000002,100,0,45.403928486261286,4200,4200,0,1.0,0.8090003459466333,249999.99999999994
43,1.6,68.80000000000001,100,0,45.294498212124644,4300,4300,0,1.0,0.8090003459466333,249999.99999999997
44,1.6,70.4,100,0,45.185067937988,4400,4400,0,1.0,0.8090003459466333,249999.99999999997
45,1.6,72.0,100,0,45.07563766385137,4500,4500,0,1.0,0.8090003459466333,250000.0
46,1.6,73.6,100,0,44.96620738971473,4600,4600,0,1.0,0.8090003459466333,250000.00000000003
47,1.6,75.19999999999999,100,0,44.8567771155781,4700,4700,0,1.0,0.8090003459466333,250000.00000000003
48,1.6,76.79999999999998,100,0,44.74734684144147,4800,4800,0,1.0,0.8090003459466333,250000.00000000006
49,1.6,78.39999999999998,100,0,44.63791656730482,4900,4900,0,1.0,0.8090003459466333,250000.00000000006
50,1.6,79.99999999999997,100,0,44.528486293168186,5000,5000,0,1.0,0.8090003459466333,250000.0000000001
51,1.6,81.59999999999997,100,0,44.41905601903155,5100,5100,0,1.0,0.8090003459466332,250000.00000000012
52,1.6,83.19999999999996,100,0,44.309625744894916,5200,5200,0,1.0,0.8090003459466332,250000.00000000012
53,1.6,84.79999999999995,100,0,44.20019547075829,5300,5300,0,1.0,0.8090003459466332,250000.00000000015
54,1.6,86.39999999999995,100,0,44.09076519662164,5400,5400,0,1.0,0.8090003459466332,250000.00000000015
55,1.6,87.99999999999994,100,0,43.981334922485004,5500,5500,0,1.0,0.8090003459466332,250000.00000000017
56,1.6,89.59999999999994,100,0,43.87190464834837,5600,5600,0,1.0,0.8090003459466332,250000.00000000017
57,1.6,91.19999999999993,100,0,43.76247437421173,5700,5700,0,1.0,0.8090003459466333,250000.00000000017
58,1.6,92.79999999999993,100,0,43.65304410007509,5800,5800,0,1.0,0.8090003459466333,250000.0000000002
59,1.6,94.39999999999992,100,0,43.543613825938465,5900,5900,0,1.0,0.8090003459466333,250000.0000000002
60,1.6,95.99999999999991,100,0,43.43418355180182,6000,6000,0,1.0,0.8090003459466333,250000.00000000023
61,1.6,97.59999999999991,100,0,43.32475327766519,6100,6100,0,1.0,0.8090003459466333,250000.00000000023
62,1.6,99.1999999999999,100,0,43.21532300352855,6200,6200,0,1.0,0.8090003459466333,250000.00000000023
63,1.6,100.7999999999999,100,0,43.10589272939191,6300,6300,0,1.0,0.8090003459466333,250000.00000000026
64,1.6,102.39999999999989,100,0,42.996462455255276,6400,6400,0,1.0,0.8090003459466333,250000.00000000026
65,1.6,103.99999999999989,100,0,42.88703218111864,6500,6500,0,1.0,0.8090003459466333,250000.00000000026
66,1.6,105.59999999999988,100,0,42.777601906982014,6600,6600,0,1.0,0.8090003459466333,250000.0000000003
67,1.6,107.19999999999987,100,0,42.66817163284537,6700,6700,0,1.0,0.8090003459466333,250000.0000000003
68,1.6,108.79999999999987,100,0,42.55874135870874,6800,6800,0,1.0,0.8090003459466333,250000.0000000003
69,1.6,110.39999999999986,100,0,42.449311084572095,6900,6900,0,1.0,0.8090003459466333,250000.00000000032
